univName,major_category,term,year,admit,cgpa,ugCollege,researchExp,industryExp,internExp,TotalPublication,toeflScore,greTotal,greA
Worcester Polytechnic Institute,MIS & Related,Fall,2015.0,1,7.83,IET DAVV,0,66,0.0,0,94.0,303.0,3.0
Worcester Polytechnic Institute,MIS & Related,Fall,2015.0,1,6.22,University of Mumbai,0,0,0.0,0,104.0,311.0,4.5
Worcester Polytechnic Institute,MIS & Related,Fall,2012.0,1,5.2,MU,0,0,0.0,0,95.0,303.0,3.0
Worcester Polytechnic Institute,MIS & Related,Fall,2016.0,1,5.48,University of Pune,0,0,0.0,0,91.0,307.0,3.0
Worcester Polytechnic Institute,MIS & Related,Fall,2015.0,1,7.65,AITR RGPV,0,39,0.0,0,101.0,308.0,3.0
Worcester Polytechnic Institute,MIS & Related,Fall,2015.0,1,5.5,MU,0,24,0.0,0,98.0,302.0,3.0
Worcester Polytechnic Institute,Computer Science & Related,Fall,2014.0,1,7.24,RGPV,0,0,0.0,0,111.0,315.0,3.5
Worcester Polytechnic Institute,Computer Science & Related,Fall,2014.0,1,7.8,SASTRA,0,0,0.0,0,112.0,315.0,3.5
Worcester Polytechnic Institute,Computer Science & Related,Fall,2013.0,1,8.74,GITAM,0,0,0.0,0,99.0,305.0,3.5
Worcester Polytechnic Institute,MIS & Related,Fall,2011.0,1,7.75,SHU,0,0,0.0,0,94.0,82.0,4.5
Worcester Polytechnic Institute,Computer Science & Related,Fall,2015.0,1,8.46,Anna University,0,0,0.0,0,108.0,323.0,3.5
Worcester Polytechnic Institute,Computer Science & Related,Fall,2014.0,1,6.52,Calicut University,0,36,0.0,0,109.0,315.0,3.5
Worcester Polytechnic Institute,Computer Science & Related,Fall,2013.0,1,5.93,University of Mumbai,0,0,0.0,0,114.0,329.0,3.0
Worcester Polytechnic Institute,MIS & Related,Fall,2014.0,1,7.3,SASTRA,0,24,0.0,0,104.38518463426423,314.0,3.0
Worcester Polytechnic Institute,MIS & Related,Fall,2013.0,1,7.2,D Y Patil College of Engineering,0,0,0.0,0,101.0,309.0,3.0
Worcester Polytechnic Institute,Computer Science & Related,Spring,2014.0,1,6.2,UIET Punjab University,0,0,0.0,0,95.0,315.0,3.0
Worcester Polytechnic Institute,MIS & Related,Spring,2016.0,1,7.59,R V College of Engineering,0,26,0.0,0,93.0,305.0,3.0
Worcester Polytechnic Institute,Computer Science & Related,Fall,2014.0,1,6.83,U.V. Patel College of Engineering Ganpat University,0,0,0.0,0,111.0,323.0,4.0
Worcester Polytechnic Institute,Other Engineering & Related,Fall,2013.0,1,9.1,Andhra University,0,0,0.0,0,96.0,296.0,2.0
Worcester Polytechnic Institute,Mechanical Engineering & Related,Fall,2012.0,1,8.69,VIT Pune,0,0,0.0,0,108.0,325.0,4.5
Worcester Polytechnic Institute,MIS & Related,Fall,2012.0,1,6.4,MU,0,0,0.0,0,98.0,304.0,3.0
Worcester Polytechnic Institute,MIS & Related,Fall,2015.0,1,5.3,MU,0,0,0.0,0,101.0,311.0,4.0
Worcester Polytechnic Institute,Computer Science & Related,Fall,2012.0,1,6.3,MU,0,0,0.0,0,99.0,301.0,4.0
Worcester Polytechnic Institute,Computer Science & Related,Fall,2014.0,1,6.75,Nagpur University,0,0,0.0,0,103.0,315.0,4.0
Worcester Polytechnic Institute,MIS & Related,Fall,2014.0,1,5.6,MU,0,48,0.0,0,109.0,313.0,3.0
Worcester Polytechnic Institute,MIS & Related,Fall,2015.0,1,7.8,Madras Institute of Technology,0,43,0.0,0,108.0,307.0,3.0
Worcester Polytechnic Institute,Computer Science & Related,Spring,2016.0,1,7.85,PESIT,0,15,4.0,2,112.0,314.0,4.5
Worcester Polytechnic Institute,MIS & Related,Fall,2014.0,1,6.85,VTU,0,0,0.0,0,106.0,306.0,4.0
Worcester Polytechnic Institute,Computer Science & Related,Fall,2014.0,1,8.3,Sri Venkateswara College of Engineering,0,36,0.0,0,110.0,311.0,4.0
Worcester Polytechnic Institute,MIS & Related,Fall,2013.0,1,7.8,Mepco Schlenk Engineering College,0,0,0.0,0,114.0,304.0,3.5
Worcester Polytechnic Institute,MIS & Related,Fall,2013.0,1,6.1,MU,0,0,0.0,0,89.0,307.0,3.0
Worcester Polytechnic Institute,MIS & Related,Fall,2013.0,1,6.5,Pune University,0,0,0.0,0,112.0,312.0,3.5
Worcester Polytechnic Institute,MIS & Related,Fall,2015.0,1,6.4,UPTU,0,54,3.0,0,104.38518463426423,300.0,3.5
Worcester Polytechnic Institute,MIS & Related,Fall,2015.0,1,6.92,GITAM,0,20,8.0,2,106.0,308.0,3.5
Worcester Polytechnic Institute,MIS & Related,Fall,2014.0,1,6.5,SRM,0,0,4.0,0,84.0,301.0,3.0
Worcester Polytechnic Institute,Electrical Engineering & Related,Fall,2015.0,1,6.6,Amity School of Engineering and Technology,0,0,0.0,0,110.0,321.0,3.0
Worcester Polytechnic Institute,MIS & Related,Fall,2013.0,1,8.3,West Bengal University Of Technology,0,0,0.0,0,105.0,302.0,3.5
Worcester Polytechnic Institute,Computer Science & Related,Spring,2014.0,1,7.76,BMSCE,0,0,0.0,0,103.0,311.0,3.0
Worcester Polytechnic Institute,Computer Science & Related,Fall,2015.0,1,8.29,CoE Trivandrum,0,0,0.0,0,109.0,329.0,4.0
Worcester Polytechnic Institute,Computer Science & Related,Fall,2014.0,1,8.63,NIT Kurukshetra,0,0,0.0,0,107.0,316.0,3.0
Worcester Polytechnic Institute,Computer Science & Related,Fall,2014.0,1,5.97,MU,0,0,0.0,0,108.0,327.0,4.0
Worcester Polytechnic Institute,Computer Science & Related,Fall,2014.0,1,5.8,SIES Graduate School of Technology,0,0,0.0,0,102.0,305.0,3.0
Worcester Polytechnic Institute,Computer Science & Related,Fall,2013.0,1,7.3,VNIT Nagpur,0,0,0.0,0,109.0,318.0,3.0
Worcester Polytechnic Institute,Other Engineering & Related,Fall,2012.0,1,0.66,Others,0,0,0.0,0,99.0,307.0,3.5
Worcester Polytechnic Institute,MIS & Related,Fall,2011.0,1,8.3,Shanxi University,0,0,0.0,0,106.0,88.0,4.0
Worcester Polytechnic Institute,Electrical Engineering & Related,Fall,2013.0,0,5.61,A C Patil College of Engineering,0,0,0.0,0,91.0,301.0,3.0
Worcester Polytechnic Institute,Electrical Engineering & Related,Fall,2012.0,0,8.91,West Bengal University Of Technology,0,0,0.0,0,101.0,314.0,4.0
Worcester Polytechnic Institute,Electrical Engineering & Related,Fall,2014.0,0,5.62,MU,0,0,0.0,0,92.0,299.0,3.5
Worcester Polytechnic Institute,Industrial Engineering & Related,Fall,2015.0,0,6.8,Visvesvaraya NIT Nagpur,0,9,2.0,0,79.0,295.0,3.5
Worcester Polytechnic Institute,MIS & Related,Fall,2014.0,0,6.57,University of Mumbai,0,0,0.0,0,101.0,302.0,3.0
Worcester Polytechnic Institute,MIS & Related,Fall,2013.0,0,6.23,BMSIT,0,0,0.0,0,104.0,302.0,3.0
Worcester Polytechnic Institute,Computer Science & Related,Fall,2015.0,1,6.3,Ramdeobaba college of engg and management,0,0,6.0,0,104.38518463426423,328.0,4.0
Worcester Polytechnic Institute,MIS & Related,Fall,2013.0,0,5.8,MU,0,0,0.0,0,97.0,299.0,3.5
Worcester Polytechnic Institute,Computer Science & Related,Fall,2014.0,0,0.82,Anna University,0,21,6.0,0,101.0,315.0,3.5
Worcester Polytechnic Institute,Computer Science & Related,Fall,2014.0,0,5.97,MU,0,0,0.0,0,109.0,314.0,4.0
Worcester Polytechnic Institute,Computer Science & Related,Fall,2012.0,0,6.1,CMRIT,0,0,0.0,0,87.0,294.0,3.5
Worcester Polytechnic Institute,Computer Science & Related,Fall,2015.0,0,8.51,Mepco Schlenk Engineering College,0,0,1.0,2,91.0,317.0,3.0
Worcester Polytechnic Institute,Computer Science & Related,Fall,2014.0,0,8.3,R V College of Engineering,0,23,0.0,0,110.0,316.0,3.5
Worcester Polytechnic Institute,Computer Science & Related,Fall,2013.0,0,6.0,University of Mumbai,0,0,0.0,0,97.0,296.0,3.5
Worcester Polytechnic Institute,Mechanical Engineering & Related,Fall,2014.0,1,6.23,IIT Guwahati,0,0,0.0,0,104.0,321.0,3.5
Worcester Polytechnic Institute,MIS & Related,Fall,2013.0,0,6.5,Thadomal Shahani Engineering College,0,0,0.0,0,96.0,305.0,3.5
Worcester Polytechnic Institute,Computer Science & Related,Fall,2012.0,0,6.5,Sapthagiri College of Engineering,0,0,0.0,0,96.0,304.0,3.5
Worcester Polytechnic Institute,Electrical Engineering & Related,Fall,2013.0,0,6.35,VIT Pune,0,0,0.0,0,90.0,307.0,2.0
Worcester Polytechnic Institute,Electrical Engineering & Related,Fall,2013.0,0,5.88,University of Mumbai,0,0,0.0,0,95.0,310.0,3.0
Worcester Polytechnic Institute,Computer Science & Related,Fall,2014.0,0,7.34,PESIT,0,0,0.0,0,96.0,303.0,3.0
Worcester Polytechnic Institute,Computer Science & Related,Fall,2015.0,1,6.65,FCRIT,0,0,15.0,1,112.0,315.0,4.0
Worcester Polytechnic Institute,Computer Science & Related,Fall,2013.0,0,5.8,MU,0,0,0.0,0,85.0,304.0,3.0
Worcester Polytechnic Institute,Electrical Engineering & Related,Spring,2014.0,0,5.78,VTU,0,0,0.0,0,96.0,297.0,3.5
Worcester Polytechnic Institute,MIS & Related,Fall,2015.0,0,5.5,MU,0,8,0.0,0,101.0,302.0,3.5
Worcester Polytechnic Institute,Computer Science & Related,Spring,2016.0,1,6.58,SGSITS,0,0,0.0,0,104.0,323.0,3.5
Worcester Polytechnic Institute,Computer Science & Related,Fall,2013.0,0,6.54,IIIT Hyderabad,0,0,0.0,0,99.0,317.0,2.5
Worcester Polytechnic Institute,Computer Science & Related,Fall,2014.0,1,7.8,Northeast Dianli Univ.,12,0,12.0,3,88.0,323.0,2.5
Wayne State University,Mechanical Engineering & Related,Spring,2015.0,1,7.2,MRCET(affiliated to JNTUH),0,0,0.0,0,99.0,312.0,3.0
Wayne State University,Industrial Engineering & Related,Fall,2014.0,1,5.9,Solapur University.,0,0,0.0,0,104.38518463426423,296.0,3.0
Wayne State University,Industrial Engineering & Related,Fall,2015.0,1,5.69,Pune University,0,12,0.0,0,112.0,315.0,3.5
Wayne State University,Industrial Engineering & Related,Fall,2013.0,1,7.62,Anna University,0,0,0.0,0,99.0,301.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2013.0,1,5.9,University of Mumbai,0,0,0.0,0,88.0,318.0,3.0
Wayne State University,Industrial Engineering & Related,Fall,2015.0,1,6.2,VTU,0,0,0.0,0,110.0,310.0,3.5
Wayne State University,Mechanical Engineering & Related,Fall,2012.0,1,7.56,Andhra University,0,0,0.0,0,95.0,309.0,3.0
Wayne State University,Industrial Engineering & Related,Fall,2015.0,1,5.93,University of Pune,0,0,0.0,0,91.0,314.0,3.5
Wayne State University,Industrial Engineering & Related,Fall,2015.0,1,6.8,Visvesvaraya NIT Nagpur,0,9,2.0,0,79.0,295.0,3.5
Wayne State University,Industrial Engineering & Related,Fall,2015.0,1,5.93,Nagpur University,0,0,0.0,0,80.0,297.0,2.5
Wayne State University,Electrical Engineering & Related,Fall,2013.0,1,7.7,JNTU,0,0,0.0,0,89.0,301.0,2.5
Wayne State University,Electrical Engineering & Related,Fall,2013.0,1,7.4,Walchand College Of Engineering,0,0,0.0,0,112.0,318.0,3.5
Wayne State University,Industrial Engineering & Related,Fall,2014.0,1,6.8,Anna University,0,0,0.0,0,95.0,290.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2014.0,1,7.78,PSG College of Technology,0,3,6.0,0,98.0,306.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2013.0,1,7.6,VTU,0,0,0.0,0,99.0,298.0,3.0
Wayne State University,Industrial Engineering & Related,Fall,2015.0,1,8.76,GTU,0,0,0.0,0,104.38518463426423,308.0,3.0
Wayne State University,Industrial Engineering & Related,Fall,2015.0,1,6.45,Anna University,0,0,0.0,0,110.0,319.0,4.0
Wayne State University,Industrial Engineering & Related,Fall,2015.0,1,8.8,Anna University,0,12,3.0,1,91.0,298.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2015.0,1,6.29,Pune University,0,24,0.0,0,104.38518463426423,292.0,3.0
Wayne State University,Mechanical Engineering & Related,Spring,2014.0,1,6.42,CEG,0,0,0.0,0,104.38518463426423,304.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,,1,6.4,Others,0,0,0.0,0,89.0,309.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2014.0,1,6.1,RTM Nagpur University,0,0,0.0,0,98.0,309.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2013.0,1,7.62,Osmania University,0,0,0.0,0,104.38518463426423,304.0,3.0
Wayne State University,Computer Science & Related,Fall,2012.0,1,8.03,Pondicherry University,0,0,0.0,0,99.0,303.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2015.0,1,7.4,JNTU,0,0,0.0,0,104.38518463426423,298.0,3.0
Wayne State University,Computer Science & Related,Fall,2013.0,1,7.9,Madras Institute of Technology,0,0,0.0,0,93.0,308.0,3.5
Wayne State University,Industrial Engineering & Related,Fall,2014.0,1,7.8,Anna University,0,0,0.0,0,84.0,300.0,3.0
Wayne State University,Computer Science & Related,Fall,2014.0,1,6.4,Datta Meghe College of Engineering,0,6,0.0,0,105.0,311.0,3.5
Wayne State University,Computer Science & Related,Spring,2015.0,1,7.1,Pondicherry University,0,20,0.0,0,8.0,321.0,4.0
Wayne State University,Industrial Engineering & Related,Fall,2014.0,1,6.6,Amity University,15,13,4.0,0,95.0,300.0,3.5
Wayne State University,Computer Science & Related,Fall,2015.0,1,6.5,VKIT,0,32,0.0,0,100.0,301.0,3.5
Wayne State University,Industrial Engineering & Related,Fall,2015.0,1,6.29,RGPV,0,0,0.0,0,94.0,302.0,2.5
Wayne State University,Mechanical Engineering & Related,Fall,2015.0,1,8.5,VTU,0,33,0.0,0,86.0,291.0,2.5
Wayne State University,Mechanical Engineering & Related,Spring,2015.0,1,6.64,Osmania University,0,0,0.0,0,104.38518463426423,302.0,3.0
Wayne State University,Mechanical Engineering & Related,Spring,2015.0,1,7.96,JNTU,0,0,0.0,0,104.38518463426423,291.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2014.0,1,7.3,SKSEM,0,0,0.0,0,104.38518463426423,303.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2015.0,1,6.72,UPTU,0,48,6.0,0,96.0,308.0,3.0
Wayne State University,Industrial Engineering & Related,Fall,2015.0,1,0.65,Anna University,0,0,0.0,0,104.38518463426423,304.0,3.5
Wayne State University,Mechanical Engineering & Related,Fall,2015.0,1,6.89,VIT,0,0,2.0,0,105.0,312.0,3.5
Wayne State University,Mechanical Engineering & Related,Fall,2015.0,1,6.6,VTU,0,0,0.0,0,79.0,295.0,2.5
Wayne State University,Computer Science & Related,Fall,2014.0,1,7.0,JNTU,0,0,0.0,0,89.0,301.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2012.0,1,7.0,M.V.S.R Engineering College,0,0,0.0,0,81.0,297.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2013.0,1,6.8,Pune University,0,0,0.0,0,90.0,302.0,3.0
Wayne State University,Industrial Engineering & Related,Fall,2013.0,1,7.8,Anna University,0,0,0.0,0,100.0,304.0,3.0
Wayne State University,Industrial Engineering & Related,Fall,,1,6.93,Anna University,0,0,0.0,0,92.0,301.0,3.0
Wayne State University,Computer Science & Related,Fall,2013.0,1,7.3,Sri Ramakrishna Engineering College,0,0,0.0,0,119.0,325.0,4.5
Wayne State University,Industrial Engineering & Related,Fall,2015.0,1,5.8,MU,0,0,0.0,0,106.0,312.0,4.5
Wayne State University,Computer Science & Related,Fall,2014.0,1,8.75,JNTU,0,0,0.0,0,104.38518463426423,299.0,3.5
Wayne State University,Computer Science & Related,Fall,2013.0,1,6.4,University of Pune,0,0,0.0,0,104.0,311.0,3.0
Wayne State University,Electrical Engineering & Related,Fall,2013.0,1,6.7,JNTU,0,0,0.0,0,93.0,295.0,3.0
Wayne State University,Industrial Engineering & Related,Fall,2013.0,1,6.2,VNR VJIET,0,0,0.0,0,104.38518463426423,293.0,3.0
Wayne State University,Electrical Engineering & Related,Fall,2013.0,1,0.77,Gujarat Technological University,0,0,0.0,0,84.0,302.0,3.0
Wayne State University,Computer Science & Related,Fall,2013.0,1,6.49,VTU,0,0,0.0,0,97.0,287.0,3.0
Wayne State University,Electrical Engineering & Related,Fall,2012.0,1,7.2,St.Peter's University,0,0,0.0,0,88.0,299.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2014.0,1,5.8,Nagpur University,0,0,0.0,0,104.38518463426423,299.0,2.5
Wayne State University,Mechanical Engineering & Related,Spring,2013.0,1,7.75,Mahatma Gandhi University Kerala,0,0,0.0,0,103.0,307.0,3.5
Wayne State University,Computer Science & Related,Fall,2013.0,1,6.5,Pune University,0,0,0.0,0,98.0,307.0,3.0
Wayne State University,Industrial Engineering & Related,Fall,2015.0,1,7.48,Amrita School of Engineering,53,53,3.0,0,95.0,300.0,3.0
Wayne State University,Civil Engineering & Related,Fall,2015.0,1,7.64,VIT University,0,0,2.0,0,93.0,302.0,3.5
Wayne State University,Mechanical Engineering & Related,Spring,2013.0,1,6.9,CITM,0,0,0.0,0,81.0,308.0,3.0
Wayne State University,Industrial Engineering & Related,Fall,2015.0,1,5.6,University of Pune,0,0,0.0,0,83.0,305.0,3.0
Wayne State University,Mechanical Engineering & Related,Spring,2015.0,1,5.8,University of Pune,0,12,0.0,0,100.0,310.0,3.0
Wayne State University,Industrial Engineering & Related,Fall,2015.0,1,7.94,PSG College of Technology,0,0,0.0,0,107.0,309.0,3.0
Wayne State University,Industrial Engineering & Related,Spring,2013.0,1,6.78,Gogte Institute of Technology,0,0,0.0,0,90.0,296.0,3.5
Wayne State University,Industrial Engineering & Related,Fall,2015.0,1,7.58,Anna University,0,0,0.0,4,97.0,296.0,3.0
Wayne State University,Industrial Engineering & Related,Spring,2015.0,1,6.4,Amrita School of Engineering,0,50,0.0,0,93.0,300.0,3.0
Wayne State University,Electrical Engineering & Related,Fall,2014.0,1,7.6,Amrita School of Engineering,0,18,0.0,2,80.0,297.0,2.5
Wayne State University,Electrical Engineering & Related,Fall,2015.0,1,6.2,SAKEC Mumbai University,0,0,3.0,4,96.0,307.0,3.5
Wayne State University,Electrical Engineering & Related,Fall,2014.0,1,7.7,KLUniversity,0,0,0.0,0,97.0,303.0,3.0
Wayne State University,Computer Science & Related,Spring,2015.0,1,7.52,JNTU,0,27,3.0,0,104.38518463426423,302.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2013.0,1,6.02,Pune University,0,0,0.0,0,83.0,302.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2015.0,1,7.2,Dr. Pauls Engineering College (Anna University),6,0,0.0,0,100.0,302.0,3.5
Wayne State University,Computer Science & Related,Spring,2013.0,1,6.8,Mahaveer Institute Of Science of Technology,0,0,0.0,0,103.0,304.0,3.0
Wayne State University,Computer Science & Related,Fall,2014.0,1,7.73,Gujarat Technological University,0,23,0.0,0,104.38518463426423,296.0,3.0
Wayne State University,Industrial Engineering & Related,Fall,2014.0,1,5.7,VCET,0,0,0.0,0,106.0,311.0,3.0
Wayne State University,Electrical Engineering & Related,Fall,2014.0,1,5.91,University of Pune,0,42,0.0,0,112.0,321.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2015.0,1,7.45,West Bengal University Of Technology,0,0,0.0,0,83.0,303.0,3.0
Wayne State University,Industrial Engineering & Related,Fall,2015.0,1,6.04,Dr D Y Patil School of Engineering,0,0,0.0,0,102.0,307.0,3.5
Wayne State University,Computer Science & Related,Fall,2014.0,1,8.05,JNTU,0,0,0.0,0,104.38518463426423,308.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2014.0,1,7.0,BMSIT,0,0,0.0,0,105.0,306.0,3.5
Wayne State University,MIS & Related,Fall,2012.0,1,6.5,JNTU,0,0,0.0,0,100.0,306.0,3.0
Wayne State University,Civil Engineering & Related,Fall,2014.0,1,7.55,TKR college of engineering and technology,0,0,0.0,0,104.38518463426423,303.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2014.0,1,6.85,Anna University,0,49,0.0,0,104.38518463426423,290.0,3.0
Wayne State University,Biomedical Engineering & Related,Spring,2015.0,1,8.16,Anna University,0,0,0.0,0,96.0,295.0,2.5
Wayne State University,Electrical Engineering & Related,Fall,2014.0,1,6.2,VTU,0,0,0.0,0,88.0,296.0,2.5
Wayne State University,Electrical Engineering & Related,Fall,2014.0,1,6.68,Rmd,0,0,0.0,0,84.0,293.0,3.0
Wayne State University,Computer Science & Related,Fall,2014.0,1,6.3,Sree Vidyanikethan Engineering College,0,0,0.0,0,104.38518463426423,306.0,2.5
Wayne State University,Industrial Engineering & Related,Fall,2013.0,1,5.3,MU,0,0,0.0,0,82.0,304.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2015.0,1,6.65,YCCE,0,0,0.0,0,97.0,304.0,3.5
Wayne State University,Civil Engineering & Related,Fall,2014.0,1,8.36,RMK Engineering College,0,0,0.0,0,87.0,307.0,3.0
Wayne State University,Mechanical Engineering & Related,Spring,2016.0,1,6.87,Pune University,0,32,0.0,0,91.0,304.0,3.0
Wayne State University,Industrial Engineering & Related,Spring,2016.0,1,7.0,Anna University,0,0,0.0,0,104.38518463426423,311.0,3.0
Wayne State University,Mechanical Engineering & Related,Spring,2016.0,1,6.5,See mangalore/vtu Karnataka,0,0,2.0,1,83.0,300.0,2.5
Wayne State University,Computer Science & Related,Fall,2014.0,1,6.5,VTU,0,0,0.0,0,85.0,296.0,3.0
Wayne State University,Computer Science & Related,Fall,2015.0,1,6.53,Pondicherry Engineering College,0,33,3.0,0,104.38518463426423,316.0,3.0
Wayne State University,Industrial Engineering & Related,Fall,2013.0,1,7.91,Pune University,0,0,0.0,0,84.0,297.0,2.5
Wayne State University,Electrical Engineering & Related,Spring,2016.0,1,8.36,Amrita Vishwa Vidhyapeetham,0,38,0.0,0,104.38518463426423,298.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2014.0,1,6.0,Pune University,0,0,0.0,0,7.0,307.0,3.5
Wayne State University,Mechanical Engineering & Related,Spring,2015.0,1,6.8,IIITDM Jabalpur,0,0,0.0,0,97.0,310.0,3.0
Wayne State University,Aerospace Engineering,Spring,2013.0,1,6.5,JNTU,0,0,0.0,0,87.0,309.0,2.5
Wayne State University,Industrial Engineering & Related,Spring,2013.0,1,5.3,Pune University,0,0,0.0,0,102.0,304.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2012.0,0,5.7,MU,0,0,0.0,0,98.0,308.0,3.5
Wayne State University,Computer Science & Related,Fall,2015.0,0,5.6,Pune University,0,41,0.0,0,92.0,304.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2015.0,0,7.2,Maharashtra Institute of Technology,0,0,6.0,0,92.0,298.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2013.0,0,5.7,University of Pune,0,0,0.0,0,89.0,307.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2015.0,0,6.9,Gujarat Technological University,0,0,0.0,0,104.38518463426423,290.0,2.5
Wayne State University,Electrical Engineering & Related,Spring,2014.0,0,5.83,Manipal Institue of Technology,0,0,0.0,0,82.0,310.0,3.0
Wayne State University,Electrical Engineering & Related,Fall,2014.0,0,6.75,K J Somaiya College of Engiineering,0,4,2.0,0,104.38518463426423,301.0,2.5
Wayne State University,Mechanical Engineering & Related,Fall,2014.0,0,5.46,Pune University,0,0,0.0,0,104.38518463426423,302.0,3.0
Wayne State University,Electrical Engineering & Related,Spring,2014.0,0,7.14,Amrita School of Engineering,0,0,0.0,0,99.0,320.0,3.0
Wayne State University,Materials Science & Engineering,Fall,2015.0,0,7.0,VTU,0,18,3.0,0,108.0,308.0,3.5
Wayne State University,Electrical Engineering & Related,Fall,2015.0,0,5.85,K J Somaiya College of Engiineering,0,0,14.0,0,86.0,301.0,3.0
Wayne State University,Mechanical Engineering & Related,Fall,2014.0,0,6.7,JNTU,0,3,3.0,0,6.0,296.0,3.5
Virginia Polytechnic Institute and State University,Industrial Engineering & Related,Fall,2015.0,1,7.7,IIT Indore,0,24,2.0,1,113.0,329.0,4.0
Virginia Polytechnic Institute and State University,Computer Science & Related,Spring,2015.0,1,8.03,COEP,0,0,0.0,2,102.0,317.0,3.0
Virginia Polytechnic Institute and State University,Electrical Engineering & Related,Fall,2014.0,1,9.12,NIT Rourkela,12,24,4.0,3,111.0,328.0,4.5
Virginia Polytechnic Institute and State University,Computer Science & Related,Fall,2015.0,1,8.4,Anna University,4,28,0.0,0,104.38518463426423,321.0,3.5
Virginia Polytechnic Institute and State University,Industrial Engineering & Related,Fall,2015.0,1,9.1,SRM,0,0,1.0,0,111.0,313.0,4.0
Virginia Polytechnic Institute and State University,Electrical Engineering & Related,Spring,2016.0,1,7.01,NIT-warangal,0,27,0.0,1,105.0,319.0,3.5
Virginia Polytechnic Institute and State University,Mechanical Engineering & Related,Fall,2015.0,1,9.47,Vishwakarma Institute of Technology,4,22,4.0,1,116.0,319.0,4.0
